X,name,url_location
38312,"Dunkin' Donuts | Waterbury, CT | EV Station",https://www.plugshare.com/location/175582
38368,"Carrer Sant Galderic | Sant Pol de Mar, CT | EV Station",https://www.plugshare.com/location/175694
38429,"Hartford Jaguar | Hartford, CT | EV Station",https://www.plugshare.com/location/175826
38820,"B:SM Josep Baladí | Barcelona, CT | EV Station",https://www.plugshare.com/location/176601
38843,"PdR Pobla De Segur | La Pobla de Segur, CT | EV Station",https://www.plugshare.com/location/176644
39084,"Mercadona Vilassar de Mar | Vilassar de Mar, CT | EV Station",https://www.plugshare.com/location/177106
39765,"Snt Hilari Sacalm  | Sant Hilari Sacalm, CT | EV Station",https://www.plugshare.com/location/178296
39766,"Snt Hilari Sacalm  | Sant Hilari Sacalm, CT | EV Station",https://www.plugshare.com/location/178297
40103,"Big Y | Marlborough, CT | EV Station",https://www.plugshare.com/location/178913
40275,"Wesleyan University | Middletown, CT | EV Station",https://www.plugshare.com/location/17921
